School Year,School Code,County,Public/Private,Public School District,CITY,School Name,Enrollment,Reported,Category,Count,Percent
2014-2015,6048300,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,GREENDELL,98,Y,HC  Practitioner Counseled PBE,1,1.02%
2014-2015,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,73,Y,Conditional,1,1.37%
2014-2015,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,45,Y,Conditional,1,2.22%
2013-2014,126649,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,LOS ROBLES MAGNET ACADEMY,92,Y,Conditional,1,1.09%
2014-2015,126649,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,LOS ROBLES MAGNET ACADEMY,109,Y,Conditional,1,0.92%
2013-2014,126649,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,LOS ROBLES MAGNET ACADEMY,92,Y,Permanent Medical Exemption (PME),1,1.09%
2013-2014,126649,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,LOS ROBLES MAGNET ACADEMY,92,Y,Personal Beliefs Exemption (PBE),1,1.09%
2013-2014,6048243,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,OHLONE ELEMENTARY,99,Y,Permanent Medical Exemption (PME),1,1.01%
2014-2015,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,60,Y,Conditional,1,1.67%
2014-2015,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,60,Y,HC  Practitioner Counseled PBE,1,1.67%
2013-2014,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,64,Y,Personal Beliefs Exemption (PBE),1,1.56%
2014-2015,6048359,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,PALO VERDE ELEMENTARY,60,Y,Personal Beliefs Exemption (PBE),1,1.67%
2013-2014,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,25,Y,Conditional,1,4%
2013-2014,6144166,SANTA CLARA,PRIVATE,,PALO ALTO,THE CHILDREN'S SCHOOL OF ART AND SCIENCE,25,Y,Personal Beliefs Exemption (PBE),1,4%
2013-2014,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,65,Y,Conditional,1,1.54%
2013-2014,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,64,Y,Conditional,2,3.13%
2013-2014,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,44,Y,Conditional,2,4.55%
2014-2015,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,39,Y,Permanent Medical Exemption (PME),2,5.13%
2013-2014,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,29,Y,Personal Beliefs Exemption (PBE),2,6.9%
2014-2015,6044333,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,BRENTWOOD ACADEMY,89,Y,Conditional,2,2.25%
2013-2014,6048292,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,DUVENECK ELEMENTARY,62,Y,Personal Beliefs Exemption (PBE),2,3.23%
2013-2014,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,66,Y,Personal Beliefs Exemption (PBE),2,3.03%
2014-2015,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,43,Y,Conditional,2,4.65%
2013-2014,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,44,Y,Personal Beliefs Exemption (PBE),2,4.55%
2014-2015,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,GREEN OAKS ACADEMY,25,Y,Conditional,2,8%
2014-2015,6048300,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,GREENDELL,98,Y,Religious PBE,2,2.04%
2013-2014,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,66,Y,Personal Beliefs Exemption (PBE),2,3.03%
2014-2015,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,57,Y,Personal Beliefs Exemption (PBE),2,3.51%
2014-2015,6048201,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,HERBERT HOOVER ELEMENTARY,57,Y,Religious PBE,2,3.51%
2014-2015,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,73,Y,HC  Practitioner Counseled PBE,2,2.74%
2014-2015,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,73,Y,Personal Beliefs Exemption (PBE),2,2.74%
2014-2015,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,36,Y,Conditional,2,5.56%
2014-2015,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,57,Y,Conditional,2,3.51%
2014-2015,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,67,Y,Personal Beliefs Exemption (PBE),3,4.48%
2014-2015,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,67,Y,Religious PBE,3,4.48%
2013-2014,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,66,Y,Personal Beliefs Exemption (PBE),3,4.55%
2014-2015,6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,49,Y,Conditional,3,6.12%
2013-2014,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,81,Y,Permanent Medical Exemption (PME),3,3.7%
2014-2015,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,65,Y,Personal Beliefs Exemption (PBE),3,4.62%
2014-2015,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,65,Y,Religious PBE,3,4.62%
2014-2015,6048300,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,GREENDELL,98,Y,Personal Beliefs Exemption (PBE),3,3.06%
2014-2015,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,30,Y,Conditional,3,10%
2014-2015,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,67,Y,Permanent Medical Exemption (PME),4,5.97%
2013-2014,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,64,Y,Personal Beliefs Exemption (PBE),4,6.25%
2013-2014,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,29,Y,Conditional,4,13.79%
2013-2014,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,78,Y,Conditional,4,5.13%
2013-2014,6144661,SANTA CLARA,PRIVATE,,PALO ALTO,INTERNATIONAL SCHOOL OF THE PENINSULA,78,Y,Personal Beliefs Exemption (PBE),4,5.13%
2014-2015,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,45,Y,Permanent Medical Exemption (PME),4,8.89%
2013-2014,6048243,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,OHLONE ELEMENTARY,99,Y,Personal Beliefs Exemption (PBE),4,4.04%
2014-2015,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,51,Y,Conditional,4,7.84%
2014-2015,6048193,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,ADDISON ELEMENTARY,67,Y,Conditional,5,7.46%
2014-2015,6048235,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,EL CARMELO ELEMENTARY,60,Y,Conditional,5,8.33%
2014-2015,6048300,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,GREENDELL,98,Y,Conditional,5,5.1%
2014-2015,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,57,Y,Personal Beliefs Exemption (PBE),5,8.77%
2014-2015,6048409,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,WALTER HAYS ELEMENTARY,57,Y,Religious PBE,5,8.77%
2013-2014,6144166,SANTA CLARA,PRIVATE,,PALO ALTO,THE CHILDREN'S SCHOOL OF ART AND SCIENCE,25,Y,Conditional,7,28%
2013-2014,6131981,SANTA CLARA,PRIVATE,,PALO ALTO,STRATFORD SCHOOL,53,Y,Conditional,8,15.09%
2013-2014,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,66,Y,Conditional,9,13.64%
2014-2015,6048243,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,OHLONE ELEMENTARY,97,Y,HC  Practitioner Counseled PBE,9,9.28%
2014-2015,6048243,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,OHLONE ELEMENTARY,97,Y,Personal Beliefs Exemption (PBE),9,9.28%
2014-2015,6138507,SANTA CLARA,PRIVATE,,PALO ALTO,CASA DEI BAMBINI SCHOOL,10,Y,DTP,10,100%
2014-2015,6138507,SANTA CLARA,PRIVATE,,PALO ALTO,CASA DEI BAMBINI SCHOOL,10,Y,HEPB,10,100%
2014-2015,6138507,SANTA CLARA,PRIVATE,,PALO ALTO,CASA DEI BAMBINI SCHOOL,10,Y,MMR,10,100%
2014-2015,6138507,SANTA CLARA,PRIVATE,,PALO ALTO,CASA DEI BAMBINI SCHOOL,10,Y,POLIO,10,100%
2014-2015,6138507,SANTA CLARA,PRIVATE,,PALO ALTO,CASA DEI BAMBINI SCHOOL,10,Y,Up-To-Date,10,100%
2014-2015,6138507,SANTA CLARA,PRIVATE,,PALO ALTO,CASA DEI BAMBINI SCHOOL,10,Y,VARI,10,100%
2014-2015,7099344,SANTA CLARA,PRIVATE,,PALO ALTO,CHALLENGER - MIDDLEFIELD,61,Y,Conditional,16,26.23%
2013-2014,6144166,SANTA CLARA,PRIVATE,,PALO ALTO,THE CHILDREN'S SCHOOL OF ART AND SCIENCE,25,Y,DTP,17,68%
2013-2014,6144166,SANTA CLARA,PRIVATE,,PALO ALTO,THE CHILDREN'S SCHOOL OF ART AND SCIENCE,25,Y,HEPB,17,68%
2013-2014,6144166,SANTA CLARA,PRIVATE,,PALO ALTO,THE CHILDREN'S SCHOOL OF ART AND SCIENCE,25,Y,MMR,17,68%
2013-2014,6144166,SANTA CLARA,PRIVATE,,PALO ALTO,THE CHILDREN'S SCHOOL OF ART AND SCIENCE,25,Y,POLIO,17,68%
2013-2014,6144166,SANTA CLARA,PRIVATE,,PALO ALTO,THE CHILDREN'S SCHOOL OF ART AND SCIENCE,25,Y,Up-To-Date,17,68%
2013-2014,6144166,SANTA CLARA,PRIVATE,,PALO ALTO,THE CHILDREN'S SCHOOL OF ART AND SCIENCE,25,Y,VARI,17,68%
2013-2014,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,29,Y,Up-To-Date,23,79.31%
2014-2015,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,GREEN OAKS ACADEMY,25,Y,DTP,23,92%
2014-2015,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,GREEN OAKS ACADEMY,25,Y,Up-To-Date,23,92%
2014-2015,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,GREEN OAKS ACADEMY,25,Y,MMR,24,96%
2014-2015,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,GREEN OAKS ACADEMY,25,Y,POLIO,24,96%
2013-2014,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,25,Y,DTP,24,96%
2013-2014,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,25,Y,MMR,24,96%
2013-2014,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,25,Y,POLIO,24,96%
2013-2014,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,25,Y,Up-To-Date,24,96%
2013-2014,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,25,Y,VARI,24,96%
2013-2014,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,29,Y,DTP,25,86.21%
2013-2014,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,29,Y,POLIO,25,86.21%
2014-2015,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,GREEN OAKS ACADEMY,25,Y,HEPB,25,100%
2014-2015,6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,GREEN OAKS ACADEMY,25,Y,VARI,25,100%
2013-2014,6048243,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,OHLONE ELEMENTARY,99,Y,Conditional,25,25.25%
2013-2014,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,25,Y,HEPB,25,100%
2013-2014,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,29,Y,MMR,26,89.66%
2013-2014,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,29,Y,VARI,26,89.66%
2013-2014,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,29,Y,HEPB,27,93.1%
2014-2015,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,30,Y,DTP,27,90%
2014-2015,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,30,Y,MMR,27,90%
2014-2015,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,30,Y,POLIO,27,90%
2014-2015,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,30,Y,Up-To-Date,27,90%
2014-2015,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,30,Y,VARI,27,90%
2014-2015,6979470,SANTA CLARA,PRIVATE,,PALO ALTO,ST. ELIZABETH SETON,30,Y,HEPB,28,93.33%
2013-2014,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,33,Y,DTP,33,100%
2013-2014,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,33,Y,HEPB,33,100%
2013-2014,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,33,Y,MMR,33,100%
2013-2014,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,33,Y,POLIO,33,100%
2013-2014,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,33,Y,Up-To-Date,33,100%
2013-2014,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,33,Y,VARI,33,100%
2014-2015,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,36,Y,HEPB,34,94.44%
2014-2015,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,36,Y,Up-To-Date,34,94.44%
2014-2015,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,36,Y,MMR,35,97.22%
2014-2015,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,36,Y,POLIO,35,97.22%
2014-2015,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,36,Y,DTP,36,100%
2014-2015,6141899,SANTA CLARA,PRIVATE,,PALO ALTO,KEYS FAMILY DAY SCHOOL,36,Y,VARI,36,100%
2014-2015,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,39,Y,DTP,37,94.87%
2014-2015,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,39,Y,HEPB,37,94.87%
2014-2015,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,39,Y,MMR,37,94.87%
2014-2015,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,39,Y,POLIO,37,94.87%
2014-2015,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,39,Y,Up-To-Date,37,94.87%
2014-2015,7089956,SANTA CLARA,PRIVATE,,PALO ALTO,BOWMAN INTERNATIONAL SCHOOL,39,Y,VARI,37,94.87%
2013-2014,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,81,Y,DTP,37,45.68%
2013-2014,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,81,Y,HEPB,37,45.68%
2013-2014,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,81,Y,MMR,37,45.68%
2013-2014,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,81,Y,POLIO,37,45.68%
2013-2014,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,81,Y,Up-To-Date,37,45.68%
2013-2014,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,81,Y,VARI,37,45.68%
2013-2014,6048268,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,FAIRMEADOW ELEMENTARY,81,Y,Conditional,40,49.38%
2014-2015,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,45,Y,DTP,40,88.89%
2014-2015,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,45,Y,Up-To-Date,40,88.89%
2013-2014,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,44,Y,HEPB,41,93.18%
2013-2014,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,44,Y,Up-To-Date,41,93.18%
2014-2015,7072002,SANTA CLARA,PRIVATE,,PALO ALTO,GIDEON HAUSNER JEWISH DAY SCHOOL,43,Y,Up-To-Date,41,95.35%
2014-2015,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,45,Y,HEPB,41,91.11%
2014-2015,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,45,Y,MMR,41,91.11%
2014-2015,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,45,Y,POLIO,41,91.11%
2014-2015,6048326,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,JUANA BRIONES ELEMENTARY,45,Y,VARI,41,91.11%
2013-2014,6115562,SANTA CLARA,PUBLIC,PALO ALTO UNIFIED,PALO ALTO,BARRON PARK ELEMENTARY,44,Y,Up-To-Date,42,95.45%
